$0;1693267379771780700;1.15-SNAPSHOT;KIEKER;fa370bf86134;1;false;0;NANOSECONDS;0
$1;1693267418510795500;public tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.storage.DriveStorage.loadData(long);<no-session-id>;3515481721627738117;1693267418510743500;1693267418510791900;fa370bf86134;105;5
$1;1693267418510814700;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;3515481721627738117;1693267418510732100;1693267418510811800;fa370bf86134;104;4
$1;1693267418512657600;private tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.ImageProvider.scaleAndRegisterImg(java.awt.image.BufferedImage, tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3515481721627738117;1693267418511892400;1693267418512652600;fa370bf86134;106;4
$1;1693267418512689400;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3515481721627738117;1693267418510713500;1693267418512685500;fa370bf86134;103;3
$1;1693267418512807200;public tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.storage.DriveStorage.loadData(long);<no-session-id>;3515481721627738117;1693267418512756300;1693267418512803200;fa370bf86134;109;5
$1;1693267418512844500;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;3515481721627738117;1693267418512727200;1693267418512840700;fa370bf86134;108;4
$1;1693267418514815900;private tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.ImageProvider.scaleAndRegisterImg(java.awt.image.BufferedImage, tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3515481721627738117;1693267418513978500;1693267418514811000;fa370bf86134;110;4
$1;1693267418514843700;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3515481721627738117;1693267418512697500;1693267418514839900;fa370bf86134;107;3
$1;1693267418514935400;public tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.storage.DriveStorage.loadData(long);<no-session-id>;3515481721627738117;1693267418514887400;1693267418514931600;fa370bf86134;113;5
$1;1693267418514978800;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;3515481721627738117;1693267418514877200;1693267418514975200;fa370bf86134;112;4
$1;1693267418516861300;private tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.ImageProvider.scaleAndRegisterImg(java.awt.image.BufferedImage, tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3515481721627738117;1693267418516033700;1693267418516835600;fa370bf86134;114;4
$1;1693267418516886000;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3515481721627738117;1693267418514852800;1693267418516881900;fa370bf86134;111;3
$1;1693267418516993900;public tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.storage.DriveStorage.loadData(long);<no-session-id>;3515481721627738117;1693267418516928300;1693267418516988600;fa370bf86134;117;5
$1;1693267418517018700;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;3515481721627738117;1693267418516914400;1693267418517015200;fa370bf86134;116;4
$1;1693267418519324200;private tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.ImageProvider.scaleAndRegisterImg(java.awt.image.BufferedImage, tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3515481721627738117;1693267418518533900;1693267418519319200;fa370bf86134;118;4
